Designator,Mid X,Mid Y,Layer,Rotation
C1,66.831000mm,-113.300000mm,Top,0
C2,56.600000mm,-109.800000mm,Top,180
C3,49.900000mm,-108.475000mm,Top,90
C4,62.127000mm,-111.141000mm,Top,0
C5,53.175000mm,-113.000000mm,Top,0
C6,45.700000mm,-111.300000mm,Top,90
C7,45.825000mm,-105.200000mm,Top,0
C8,44.200000mm,-111.300000mm,Top,90
C9,46.600000mm,-130.750000mm,Top,270
C10,59.300000mm,-131.100000mm,Top,90
C11,43.800000mm,-136.550000mm,Top,180
C12,59.100000mm,-126.650000mm,Top,270
C13,46.600000mm,-135.600000mm,Top,90
C14,61.850000mm,-125.500000mm,Top,0
D2,60.187500mm,-100.800000mm,Top,180
D3,66.600000mm,-101.200000mm,Top,180
D4,66.350000mm,-111.000000mm,Top,180
D5,49.412500mm,-105.200000mm,Top,0
D6,56.800000mm,-124.700000mm,Top,270
F1,67.900000mm,-116.600000mm,Top,90
F2,59.600000mm,-107.650000mm,Top,90
J14,73.950000mm,-129.040000mm,Top,90
J15,73.950000mm,-135.763000mm,Top,90
J17,32.000000mm,-126.500000mm,Top,270
J18,32.000000mm,-133.200000mm,Top,270
L1,64.050000mm,-107.000000mm,Top,180
R1,49.975000mm,-113.000000mm,Top,180
R2,53.087500mm,-109.800000mm,Top,180
R3,65.000000mm,-116.800000mm,Top,180
R4,43.000000mm,-101.800000mm,Top,90
R5,54.200000mm,-125.200000mm,Top,0
R6,59.600000mm,-103.287500mm,Top,90
R7,64.000000mm,-102.400000mm,Top,90
R8,32.400000mm,-107.900000mm,Top,90
R9,30.000000mm,-107.900000mm,Top,90
R10,45.512500mm,-107.000000mm,Top,180
R12,59.400000mm,-111.800000mm,Top,270
R13,60.000000mm,-117.600000mm,Top,270
R14,60.687500mm,-120.400000mm,Top,0
R15,62.200000mm,-117.600000mm,Top,90
SW1,53.625000mm,-117.200000mm,Top,180
U2,62.741000mm,-113.996000mm,Top,180
U3,65.069600mm,-131.036000mm,Top,180
U4,39.608000mm,-116.713000mm,Top,270
U5,54.800000mm,-104.345000mm,Top,270
U6,40.748000mm,-131.051000mm,Top,0
U7,69.800000mm,-121.600000mm,Top,270
