Designator,Mid X,Mid Y,Layer,Rotation
C1,66.831000mm,-113.300000mm,Top,0
C2,56.600000mm,-109.800000mm,Top,180
C3,49.900000mm,-108.475000mm,Top,90
C4,62.127000mm,-111.141000mm,Top,0
C5,53.175000mm,-113.000000mm,Top,0
C6,45.700000mm,-111.300000mm,Top,90
C7,45.600000mm,-105.100000mm,Top,0
C8,44.200000mm,-111.300000mm,Top,90
C9,47.400000mm,-131.300000mm,Top,270
C10,58.520000mm,-131.900000mm,Top,90
C11,43.800000mm,-136.550000mm,Top,180
C12,58.560000mm,-127.100000mm,Top,270
C13,47.400000mm,-135.400000mm,Top,90
C14,61.640000mm,-125.530000mm,Top,0
C15,67.600000mm,-106.300000mm,Top,270
D1,37.887500mm,-91.900000mm,Top,0
D2,60.000000mm,-101.000000mm,Top,180
D3,63.100000mm,-101.000000mm,Top,0
D4,66.350000mm,-111.000000mm,Top,0
D5,48.912500mm,-105.100000mm,Top,0
D6,57.300000mm,-121.300000mm,Top,0
D7,43.800000mm,-140.400000mm,Top,270
D8,68.312500mm,-90.600000mm,Top,180
D9,62.000000mm,-140.300000mm,Top,270
F1,67.900000mm,-116.600000mm,Top,90
F2,59.600000mm,-107.650000mm,Top,90
J14,74.100000mm,-129.040000mm,Top,90
J15,74.100000mm,-135.763000mm,Top,90
J16,31.900000mm,-133.600000mm,Top,270
J17,31.900000mm,-126.900000mm,Top,270
L1,63.700000mm,-106.500000mm,Top,90
R1,49.975000mm,-113.000000mm,Top,180
R2,53.087500mm,-109.800000mm,Top,180
R3,65.000000mm,-116.800000mm,Top,180
R4,48.287500mm,-98.000000mm,Top,0
R5,57.500000mm,-123.200000mm,Top,0
R6,59.600000mm,-103.500000mm,Top,90
R7,66.412500mm,-101.200000mm,Top,180
R8,32.300000mm,-107.900000mm,Top,90
R9,30.000000mm,-107.900000mm,Top,90
R10,51.200000mm,-98.200000mm,Top,270
R11,38.000000mm,-90.000000mm,Top,0
R12,59.400000mm,-111.800000mm,Top,270
R13,41.900000mm,-140.300000mm,Top,270
R14,68.187500mm,-92.500000mm,Top,180
R15,61.587500mm,-116.800000mm,Top,0
R16,63.800000mm,-140.100000mm,Top,270
SW1,53.625000mm,-117.200000mm,Top,180
U2,62.741000mm,-113.996000mm,Top,0
U3,64.900000mm,-131.036000mm,Top,180
U4,39.608000mm,-116.713000mm,Top,270
U5,54.800000mm,-104.345000mm,Top,90
U6,41.000000mm,-131.051000mm,Top,0
U7,69.700000mm,-121.680000mm,Top,0
